"﻿縣市別","村里","納稅單位(戶)","合計","營利所得","執行業務所得","薪資所得","利息所得","租賃及權利金","財產交易所得","機會中獎所得","股利所得","退職所得","其他所得","稿費所得","申報大於歸戶","薪資收入","稿費收入"
"新北市新莊區","海山里","1729","1437141","21206","21117","950223","50294","31901","2890","2396","335697","2172","14981","34","4230","1334524","1407"
"新北市新莊區","全安里","1365","1189566","19740","20724","828570","37283","22168","2421","1608","181805","2222","64023","303","8697","1138245","2038"
"新北市新莊區","文衡里","714","654866","13245","15538","403059","34548","41890","1406","797","128702","0","8882","275","6525","553096","822"
"新北市新莊區","興漢里","1049","886336","6677","19390","560993","41591","26387","1572","1084","212961","356","12858","31","2438","782045","805"
"新北市新莊區","榮和里","1145","1197488","16759","28370","734804","51954","67801","3600","1859","256887","3206","20587","25","11637","974003","1074"
"新北市新莊區","文德里","580","500462","5545","9823","359674","28579","19945","456","634","65532","0","6919","232","3122","490727","1124"
"新北市新莊區","文明里","542","547939","12403","7131","321686","16362","20149","1245","673","158231","0","9099","0","959","438017","130"
"新北市新莊區","中港里","1975","1539310","30009","42293","1050437","55949","71646","3837","2084","247932","5638","21166","854","7466","1491477","3045"
"新北市新莊區","頭前里","4161","5903869","81176","197150","3773614","209211","219242","66121","8228","1146508","17112","137407","1271","46827","4731947","6973"
"新北市新莊區","丹鳳里","2794","2051464","44308","31264","1588641","48132","30599","4125","4715","265399","369","28659","244","5009","2278446","2369"
"新北市新莊區","西盛里","4632","3725056","95083","62803","2515816","104395","127748","9838","8056","705191","237","61978","365","33547","3649670","3084"
"新北市新莊區","瓊林里","1414","1005586","29640","16548","688546","32636","20525","519","1544","138263","3573","68827","0","4965","1009140","324"
"新北市新莊區","營盤里","607","394708","7072","3796","234343","25899","31592","1975","598","74748","323","8181","163","6018","348677","843"
"新北市新莊區","後港里","2403","1581991","24799","30655","1194037","51816","32261","2796","2853","209246","8531","19417","1522","4057","1745863","4795"
"新北市新莊區","國泰里","441","310293","4449","4344","178350","15577","15524","401","349","85028","516","3218","280","2258","268964","994"
"新北市新莊區","立人里","694","738105","2054","28260","488591","39239","19920","1516","863","137798","251","13560","261","5791","641681","1623"
"新北市新莊區","恆安里","1363","1113720","16341","22400","800926","42148","31479","2266","1673","172079","1059","20367","991","1991","1103058","3403"
"新北市新莊區","思源里","1674","1207201","23940","23594","815483","50103","69255","2832","3171","190842","176","16140","311","11356","1189573","2136"
"新北市新莊區","化成里","1397","1364702","50313","24383","804554","57326","86869","10366","1787","281066","364","38558","211","8905","1105782","1597"
